instance,seed,out_dir,best_score,unpacked,infeasible,duration
XML100_1111_01_merged_with_boxes_norm,2000,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2000,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2001,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2001,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2002,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2002,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2003,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2003,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2004,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2004,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2005,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2005,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2006,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2006,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2007,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2007,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2008,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2008,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2009,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2009,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2010,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2010,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2011,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2011,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2012,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2012,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2013,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2013,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2014,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2014,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2015,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2015,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2016,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2016,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2017,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2017,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2018,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2018,22930.85703,0,0,17.0490365
XML100_1111_01_merged_with_boxes_norm,2019,experiments_output/XML100_1111_01_merged_with_boxes_norm_seed2019,22930.85703,0,0,17.0490365
